step   1170 | loss=0.15838 w0=0.023 dev=0.447 | EVAL loss=0.09147 w0=0.016 dev=0.468 | 0.66s/step | epoch 0 | 15:31:34
step   1180 | loss=0.15837 w0=0.023 dev=0.447 | EVAL loss=0.09144 w0=0.012 dev=0.473 | 0.66s/step | epoch 0 | 15:31:41
step   1190 | loss=0.15827 w0=0.023 dev=0.447 | EVAL loss=0.09148 w0=0.007 dev=0.477 | 0.65s/step | epoch 0 | 15:31:47
step   1200 | loss=0.15846 w0=0.023 dev=0.448 | EVAL loss=0.09161 w0=0.005 dev=0.479 | 0.67s/step | epoch 0 | 15:31:54
step   1210 | loss=0.15829 w0=0.023 dev=0.448 | EVAL loss=0.09157 w0=0.009 dev=0.476 | 0.69s/step | epoch 0 | 15:32:01
step   1220 | loss=0.15808 w0=0.022 dev=0.448 | EVAL loss=0.09156 w0=0.010 dev=0.476 | 0.67s/step | epoch 0 | 15:32:08
step   1230 | loss=0.15839 w0=0.022 dev=0.448 | EVAL loss=0.09154 w0=0.008 dev=0.476 | 0.67s/step | epoch 0 | 15:32:14
step   1240 | loss=0.15819 w0=0.022 dev=0.448 | EVAL loss=0.09149 w0=0.010 dev=0.474 | 0.66s/step | epoch 0 | 15:32:21
step   1250 | loss=0.15827 w0=0.022 dev=0.449 | EVAL loss=0.09149 w0=0.009 dev=0.476 | 0.65s/step | epoch 0 | 15:32:27
step   1260 | loss=0.15823 w0=0.022 dev=0.449 | EVAL loss=0.09157 w0=0.007 dev=0.478 | 0.86s/step | epoch 1 | 15:32:36
step   1270 | loss=0.15838 w0=0.022 dev=0.449 | EVAL loss=0.09162 w0=0.008 dev=0.477 | 0.65s/step | epoch 1 | 15:32:42
step   1280 | loss=0.15826 w0=0.022 dev=0.449 | EVAL loss=0.09161 w0=0.009 dev=0.476 | 0.65s/step | epoch 1 | 15:32:49
step   1290 | loss=0.15789 w0=0.022 dev=0.449 | EVAL loss=0.09156 w0=0.011 dev=0.475 | 0.65s/step | epoch 1 | 15:32:55
step   1300 | loss=0.15787 w0=0.022 dev=0.450 | EVAL loss=0.09155 w0=0.014 dev=0.473 | 0.65s/step | epoch 1 | 15:33:02
step   1310 | loss=0.15792 w0=0.022 dev=0.450 | EVAL loss=0.09156 w0=0.012 dev=0.475 | 0.65s/step | epoch 1 | 15:33:08
step   1320 | loss=0.15803 w0=0.022 dev=0.450 | EVAL loss=0.09148 w0=0.009 dev=0.478 | 0.65s/step | epoch 1 | 15:33:15
step   1330 | loss=0.15810 w0=0.021 dev=0.450 | EVAL loss=0.09160 w0=0.008 dev=0.479 | 0.65s/step | epoch 1 | 15:33:21
step   1340 | loss=0.15816 w0=0.021 dev=0.450 | EVAL loss=0.09156 w0=0.010 dev=0.476 | 0.65s/step | epoch 1 | 15:33:28
step   1350 | loss=0.15821 w0=0.021 dev=0.450 | EVAL loss=0.09152 w0=0.011 dev=0.475 | 0.66s/step | epoch 1 | 15:33:34
step   1360 | loss=0.15823 w0=0.021 dev=0.451 | EVAL loss=0.09157 w0=0.009 dev=0.477 | 0.65s/step | epoch 1 | 15:33:41
step   1370 | loss=0.15834 w0=0.021 dev=0.451 | EVAL loss=0.09160 w0=0.009 dev=0.477 | 0.65s/step | epoch 1 | 15:33:47
step   1380 | loss=0.15825 w0=0.021 dev=0.451 | EVAL loss=0.09156 w0=0.007 dev=0.479 | 0.65s/step | epoch 1 | 15:33:54
step   1390 | loss=0.15839 w0=0.021 dev=0.451 | EVAL loss=0.09156 w0=0.007 dev=0.480 | 0.65s/step | epoch 1 | 15:34:00
step   1400 | loss=0.15834 w0=0.021 dev=0.451 | EVAL loss=0.09158 w0=0.007 dev=0.479 | 0.65s/step | epoch 1 | 15:34:07
step   1410 | loss=0.15836 w0=0.021 dev=0.452 | EVAL loss=0.09160 w0=0.009 dev=0.477 | 0.65s/step | epoch 1 | 15:34:13
step   1420 | loss=0.15835 w0=0.021 dev=0.452 | EVAL loss=0.09155 w0=0.011 dev=0.476 | 0.65s/step | epoch 1 | 15:34:20
step   1430 | loss=0.15821 w0=0.021 dev=0.452 | EVAL loss=0.09154 w0=0.010 dev=0.477 | 0.65s/step | epoch 1 | 15:34:26
step   1440 | loss=0.15818 w0=0.021 dev=0.452 | EVAL loss=0.09150 w0=0.008 dev=0.479 | 0.65s/step | epoch 1 | 15:34:33
step   1450 | loss=0.15807 w0=0.021 dev=0.452 | EVAL loss=0.09151 w0=0.006 dev=0.481 | 0.65s/step | epoch 1 | 15:34:39
step   1460 | loss=0.15823 w0=0.020 dev=0.452 | EVAL loss=0.09153 w0=0.009 dev=0.478 | 0.65s/step | epoch 1 | 15:34:46
step   1470 | loss=0.15825 w0=0.020 dev=0.452 | EVAL loss=0.09150 w0=0.008 dev=0.478 | 0.65s/step | epoch 1 | 15:34:52
step   1480 | loss=0.15827 w0=0.020 dev=0.453 | EVAL loss=0.09148 w0=0.007 dev=0.479 | 0.65s/step | epoch 1 | 15:34:59
step   1490 | loss=0.15851 w0=0.020 dev=0.453 | EVAL loss=0.09148 w0=0.009 dev=0.475 | 0.65s/step | epoch 1 | 15:35:05
